SampleID,TimeTree_returned
10684.weampp03D04,Pycnonotus_goiavier
10684.weampp01H08,Pycnonotus_goiavier
10684.weampp02F10,Pycnonotus_goiavier
1696.VH0023A,Pygathrix_nemaeus
1696.VH0003A,Pygathrix_nemaeus
1696.VH0008A,Pygathrix_nemaeus
1696.VH0022A,Pygathrix_nemaeus
1696.VH0024A,Pygathrix_nemaeus
11166.NATL.25017.rhea,Rhea_americana
11166.Rhea.ACAD.5,Rhea_americana
11166.NATL.24102.rhea,Rhea_americana
10684.weampp15H07,Rhea_americana
10684.weampp15G07,Rhea_americana
11815.PWW.3607.FecalFTA,Rhinolophus_clivosus
11815.JCK.10331.FecalFTA,Rhinolophus_clivosus
11815.PWW.3626.FecalFTA,Rhinolophus_clivosus
11815.PWW.3623.FecalFTA,Rhinolophus_clivosus
11815.JCK.10359.FecalFTA,Rhinolophus_clivosus
11815.PWW.3544.FecalFTA,Rhinolophus_eloquens
11815.PWW.3542.FecalFTA,Rhinolophus_eloquens
