#Sample	Metric	Value
11166.FD.0031.rhinoceros	Weighted NSTI	0.32654348069119815
11166.FD.0087.aardvark	Weighted NSTI	0.07743127446990909
11166.FD.0241.wallaby	Weighted NSTI	0.18423130582796426
11166.FD.0316.mangabey	Weighted NSTI	0.18056647281214494
11166.TS.135.aardvark	Weighted NSTI	0.05311196032111644
11166.ZU.18199.gorilla	Weighted NSTI	0.23271854843078912
11166.TS.153.eland	Weighted NSTI	0.19314624989940402
11166.TS.088.wildebeest	Weighted NSTI	0.1890215004429164
11166.TS.015.flycatcher	Weighted NSTI	0.08575056652144133
11166.TS.209.wilddog	Weighted NSTI	0.13011016835029424
11166.TS.065.baboon	Weighted NSTI	0.13100245684270054
11166.TS.155.hartebeest	Weighted NSTI	0.18724491389210102
11166.TS.061.gemsbok	Weighted NSTI	0.20073679428083782
11166.ZU.18231.monitor	Weighted NSTI	0.038644672000888086
11166.FD.0045.ass	Weighted NSTI	0.51938796560305
11166.ZU.18240.elephant	Weighted NSTI	0.32294060989848494
11166.ZU.18223.gecko	Weighted NSTI	0.05392052943332952
11166.FD.0099.wolf	Weighted NSTI	0.12371133803630696
11166.FD.0084.mousedeer	Weighted NSTI	0.205936143986774
11166.TS.006.rhino	Weighted NSTI	0.12199007129273319
11166.TS.040.warthog	Weighted NSTI	0.29104956490728673
11166.FD.0499.fox	Weighted NSTI	0.09043031251358645
11166.TS.067.porcupine	Weighted NSTI	0.1192935250689506
11166.TS.208.wilddog	Weighted NSTI	0.1374043342672489
11166.FD.0456.mongoose	Weighted NSTI	0.06319417467742636
11166.ZU.18269.anteater	Weighted NSTI	0.07527723974110845
11166.FD.0500.meerkat	Weighted NSTI	0.08389943736109709
11166.FD.0089.aardvark	Weighted NSTI	0.11546262222119552
11166.FD.0313.mangabey	Weighted NSTI	0.1118065916400522
11166.FD.0077.eland	Weighted NSTI	0.1727205998185157
11166.TS.127.pangolin	Weighted NSTI	0.1757328983920918
11166.TS.175.aardvark	Weighted NSTI	0.11126575006969247
11166.TS.098.rockrabbit	Weighted NSTI	0.2401521565438619
11166.TS.176.zebra	Weighted NSTI	0.30759866994874996
11166.TS.142.kudu	Weighted NSTI	0.1994424374098679
11166.ZU.18245.elephant	Weighted NSTI	0.364404013675968
11166.TS.210.wilddog	Weighted NSTI	0.10900115636024958
11166.TS.170.impala	Weighted NSTI	0.1901361657419518
11166.TS.159.antelope	Weighted NSTI	0.18396309336544295
11166.FD.0019.antelope	Weighted NSTI	0.2206903210539023
11166.TS.172.impala	Weighted NSTI	0.19129806871493663
11166.FD.0014.addax	Weighted NSTI	0.20935432426936942
11166.FD.0244.tortoise	Weighted NSTI	0.08994809000207415
11166.FD.0439.cougar	Weighted NSTI	0.08563701797490451
11166.TS.146.rhinoceros	Weighted NSTI	0.3649055009060924
11166.FD.0171.antelope	Weighted NSTI	0.15834456981429237
11166.TS.168.impala	Weighted NSTI	0.20772489376395184
11166.FD.0147.capuchin	Weighted NSTI	0.01782017358037096
11166.ZU.18208.tapir	Weighted NSTI	0.19876913808482233
11166.ZU.18190.lion	Weighted NSTI	0.1709204770966633
11166.SFM.18281.manatee	Weighted NSTI	0.10027004525225723
11166.TS.100.eland	Weighted NSTI	0.1981187846823614
11166.artic.squirrel.673	Weighted NSTI	0.1703661532868562
11166.artic.squirrel.9532	Weighted NSTI	0.1763736985157478
11166.artic.squirrel.8846	Weighted NSTI	0.16201778098656594
11166.artic.squirrel.9674	Weighted NSTI	0.2081465903086362
11166.artic.squirrel.659	Weighted NSTI	0.1993460075786891
11166.artic.squirrel.665	Weighted NSTI	0.14033473954903533
11166.artic.squirrel.9074	Weighted NSTI	0.2512698832787789
11166.artic.squirrel.8832	Weighted NSTI	0.18671619769333248
11166.artic.squirrel.648	Weighted NSTI	0.17911774771154304
11166.artic.squirrel.593	Weighted NSTI	0.1338378110243413
11166.artic.squirrel.8850	Weighted NSTI	0.16047556235106278
11166.artic.squirrel.8840	Weighted NSTI	0.1915825328035923
11166.artic.squirrel.651	Weighted NSTI	0.13360007810366156
11166.Ostrich1.ACAD.4	Weighted NSTI	0.12445965247711271
11166.artic.squirrel.8851	Weighted NSTI	0.16392799166348862
11166.artic.squirrel.9525	Weighted NSTI	0.14511834918479696
11166.artic.squirrel.9540	Weighted NSTI	0.15471831301216155
11166.artic.squirrel.9592	Weighted NSTI	0.1568296795951384
11166.artic.squirrel.8852	Weighted NSTI	0.23182220280263435
11166.artic.squirrel.9569	Weighted NSTI	0.2399419784696853
11166.emu.ACAD.3	Weighted NSTI	0.023135692978119887
11166.cassowary.ACAD.2	Weighted NSTI	0.027423415436731335
11166.artic.squirrel.8844	Weighted NSTI	0.156408743878284
11166.artic.squirrel.9555	Weighted NSTI	0.18941294689541027
11166.artic.squirrel.655	Weighted NSTI	0.17576322244425752
11166.Rhea.ACAD.5	Weighted NSTI	0.12800552576243118
11166.artic.squirrel.9561	Weighted NSTI	0.2207368537737977
11166.artic.squirrel.645	Weighted NSTI	0.0975190847312013
11166.artic.squirrel.9599	Weighted NSTI	0.13870592266176712
11166.artic.squirrel.8853	Weighted NSTI	0.16396659334620214
11166.Ostrich2.ACAD.6	Weighted NSTI	0.10908618724944613
11166.artic.squirrel.636	Weighted NSTI	0.11793246818742632
11166.artic.squirrel.8739	Weighted NSTI	0.2150706656817446
11166.fmnh.198	Weighted NSTI	0.031313960492119826
11166.fmnh.1107	Weighted NSTI	0.013638516938990436
11166.fmnh.2570	Weighted NSTI	0.09509427552727043
11166.fmnh.1148	Weighted NSTI	0.11396185041948907
11166.fmnh.2577	Weighted NSTI	0.06352164474480972
11166.fmnh.2553	Weighted NSTI	0.0693876978299059
11166.fmnh.1100	Weighted NSTI	0.027905717042328693
11166.fmnh.228	Weighted NSTI	0.02101696641947242
11166.fmnh.2843	Weighted NSTI	0.024704094525978243
11166.fmnh.2579	Weighted NSTI	0.05740400414351634
11166.fmnh.2515	Weighted NSTI	0.06116518281718282
11166.fmnh.2860	Weighted NSTI	0.11890852851970404
11166.fmnh.2566	Weighted NSTI	0.027819643384017812
11166.fmnh.239	Weighted NSTI	0.04270065988458135
11166.fmnh.1059	Weighted NSTI	0.033368645322554916
11166.fmnh.2814	Weighted NSTI	0.014251891150676085
11166.fmnh.2855	Weighted NSTI	0.006284299570454082
11166.fmnh.2839	Weighted NSTI	0.0633227345770644
11166.fmnh.1057	Weighted NSTI	0.058670624560413435
11166.fmnh.2797	Weighted NSTI	0.06288598283104324
11166.fmnh.1108	Weighted NSTI	0.02776195641134979
11166.fmnh.1064	Weighted NSTI	0.06353859276438915
11166.fmnh.1147	Weighted NSTI	0.03155285265953167
11166.fmnh.2578	Weighted NSTI	0.05307729972179077
11166.fmnh.1095	Weighted NSTI	0.034925856428507145
11166.fmnh.2827	Weighted NSTI	0.04233172358569618
11166.fmnh.229	Weighted NSTI	0.019459211852756973
11166.fmnh.2539	Weighted NSTI	0.08478561564824348
11166.fmnh.2571	Weighted NSTI	0.021991816050748146
11166.fmnh.1149	Weighted NSTI	0.06060997489124406
11166.fmnh.2555	Weighted NSTI	0.01188808871292444
11166.fmnh.199	Weighted NSTI	0.033683400655710134
11166.fmnh.1072	Weighted NSTI	0.044401720384593384
11166.fmnh.1083	Weighted NSTI	0.029426820119922082
11166.fmnh.2505	Weighted NSTI	0.03585508003900091
11166.fmnh.2791	Weighted NSTI	0.01711986675392237
11166.fmnh.2815	Weighted NSTI	0.02725800541704117
11166.fmnh.1133	Weighted NSTI	0.035528747658569095
11166.fmnh.1117	Weighted NSTI	0.05047963409887389
11166.fmnh.1110	Weighted NSTI	0.026591599765520325
11166.fmnh.238	Weighted NSTI	0.0418154968301385
11166.fmnh.1071	Weighted NSTI	0.034540900189775854
11166.fmnh.1087	Weighted NSTI	0.04064295692722999
11166.fmnh.235	Weighted NSTI	0.02606064423689237
11166.fmnh.2857	Weighted NSTI	0.020211970390840904
11166.fmnh.2818	Weighted NSTI	0.015028378887045913
11166.fmnh.1078	Weighted NSTI	0.033708166181164304
11166.fmnh.2816	Weighted NSTI	0.012430787196913361
11166.fmnh.2563	Weighted NSTI	0.06093590033400591
11166.fmnh.285	Weighted NSTI	0.05544144350822161
11166.fmnh.2859	Weighted NSTI	0.010984409375543087
11166.fmnh.2540	Weighted NSTI	0.03787279951633175
11166.fmnh.1137	Weighted NSTI	0.017941450945661373
