DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	Diet Barchart
COLOR	#00FF00
FIELD_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00	#fdbf6f
FIELD_LABELS	Fruit	Invertebrates	Nectar	Plants	Scavenging	Seeds	Meat (Ectotherms)	Meat (Endotherms)	Meat (Fish)	Meat (Unknown)
LEGEND_TITLE	Dataset legend
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1	1
LEGEND_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00	#fdbf6f
LEGEND_LABELS	Fruit	Invertebrates	Nectar	Plants	Scavenging	Seeds	Meat (Ectotherms)	Meat (Endotherms)	Meat (Fish)	Meat (Unknown)
MARGIN	0
WIDTH	200
DATA
Chroicocephalus_genei	20.0	20.0	0.0	0.0	20.0	20.0	0.0	0.0	20.0	0.0
Chrotopterus_auritus	30.0	30.0	0.0	0.0	0.0	0.0	20.0	0.0	20.0	0.0
Chrysolophus_pictus	0.0	10.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0
Cinclus_mexicanus	0.0	80.0	0.0	0.0	0.0	0.0	10.0	0.0	10.0	0.0
Cinnyricinclus_leucogaster	80.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cinnyris_jugularis	30.0	40.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Circus_cyaneus	0.0	10.0	0.0	0.0	10.0	0.0	10.0	70.0	0.0	0.0
Cisticola_anonymus	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cistothorus_palustris	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Claravis_pretiosa	0.0	20.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0
Coendou_prehensilis	30.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0
Coleura_afra	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Collocalia_esculenta	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Colobus_angolensis	30.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0
Colobus_guereza	30.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0
Columba_guinea	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0
Columba_livia	0.0	10.0	0.0	30.0	0.0	60.0	0.0	0.0	0.0	0.0
Columbina_passerina	40.0	10.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0
Columbina_talpacoti	0.0	10.0	0.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0
Connochaetes_gnou	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
Connochaetes_taurinus	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
Contopus_sordidulus	10.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Contopus_virens	10.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Copsychus_albospecularis	10.0	70.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
Coracina_pectoralis	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Coracina_striata	30.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Coragyps_atratus	0.0	0.0	0.0	0.0	70.0	0.0	10.0	10.0	10.0	0.0
Corvus_albus	0.0	40.0	0.0	0.0	10.0	0.0	20.0	20.0	10.0	0.0
Corvus_corax	10.0	10.0	0.0	10.0	20.0	10.0	10.0	20.0	10.0	0.0
Corvus_splendens	0.0	20.0	10.0	0.0	50.0	0.0	0.0	10.0	10.0	0.0
Corynorhinus_townsendii	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cosmopsarus_regius	20.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Coturnix_coturnix	0.0	20.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0
Crax_alberti	90.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
Crocidura_denti	0.0	50.0	0.0	0.0	40.0	0.0	10.0	0.0	0.0	0.0
Crocidura_luna	0.0	50.0	0.0	0.0	40.0	0.0	10.0	0.0	0.0	0.0
Crocuta_crocuta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0
Crotophaga_sulcirostris	10.0	60.0	0.0	0.0	0.0	10.0	20.0	0.0	0.0	0.0
Cryptoprocta_ferox	0.0	10.0	0.0	0.0	0.0	0.0	20.0	70.0	0.0	0.0
Cuculus_fugax	20.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyanerpes_cyaneus	40.0	40.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyanopica_cyanus	10.0	80.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
Cyanoramphus_unicolor	10.0	0.0	0.0	70.0	10.0	10.0	0.0	0.0	0.0	0.0
Cygnus_buccinator	0.0	10.0	0.0	70.0	0.0	20.0	0.0	0.0	0.0	0.0
Cynictis_penicillata	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0
Cynomys_ludovicianus	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
Dacelo_novaeguineae	0.0	70.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0
Dasyprocta_leporina	40.0	10.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0
