DATASET_COLORSTRIP

SEPARATOR SPACE

COLOR #8ab2df

DATASET_LABEL categorical_colorstrip

Pongo_abelii #FFFFFF
Pongo_pygmaeus #FFFFFF
Porphyrio_hochstetteri #FFFFFF
Porphyrio_porphyrio #000000
Porzana_carolina #000000
Potos_flavus #FFFFFF
Praomys_jacksoni #FFFFFF
Premnoplex_brunnescens #000000
Priodontes_maximus #FFFFFF
Prionailurus_viverrinus #FFFFFF
Procavia_capensis #FFFFFF
Procyon_lotor #FFFFFF
Prolemur_simus #FFFFFF
Pronolagus_rupestris #FFFFFF
Propithecus_verreauxi #FFFFFF
Prosthemadera_novaeseelandiae #000000
Proteles_cristatus #FFFFFF
Psarocolius_decumanus #000000
Pseudechis_papuanus #FFFFFF
Pseudocheirus_peregrinus #FFFFFF
Pseudois_nayaur #FFFFFF
Pseudopus_apodus #FFFFFF
Psittacus_erithacus #000000
Pterodroma_hypoleuca #000000
Pteromys_volans #FFFFFF
Pteronotus_davyi #000000
Pteronotus_parnellii #000000
Pteronura_brasiliensis #FFFFFF
Pteropus_poliocephalus #000000
Ptilinopus_occipitalis #000000
Puffinus_tenuirostris #000000
Puma_concolor #FFFFFF
Puma_yagouaroundi #FFFFFF
Pycnonotus_barbatus #000000
Pycnonotus_goiavier #000000
Pygathrix_nemaeus #FFFFFF
Pygoscelis_adeliae #FFFFFF
Python_molurus #FFFFFF
Python_regius #FFFFFF
Pytilia_afra #000000
Pytilia_melba #000000
Pyxis_arachnoides #FFFFFF
Rallina_eurizonoides #000000
Rallus_limicola #000000
Ramphastos_toco #000000
Ramphocelus_carbo #000000
Raphicerus_campestris #FFFFFF
Recurvirostra_avosetta #000000
Regulus_satrapa #000000
Rhabdomys_pumilio #FFFFFF
Rhacodactylus_leachianus #FFFFFF
Rhea_americana #FFFFFF
Rhinoceros_unicornis #FFFFFF
Rhinolophus_clivosus #000000
Rhinolophus_eloquens #000000
Rhinolophus_landeri #000000
Rhinopithecus_bieti #FFFFFF
Rhinopithecus_brelichi #FFFFFF
Rhinopithecus_roxellana #FFFFFF
Rhipidura_javanica #000000
Rhodinocichla_rosea #000000
Rhodostethia_rosea #000000
Rhogeessa_aeneus #000000
