	shannon
11166.fmnh.2562	2.8954740742070015
11166.fmnh.2817	1.2547210212370907
11166.fmnh.219	1.8279611810758851
11166.fmnh.2856	1.1122496668717108
11166.fmnh.2875	1.5457719845501454
11166.fmnh.1070	1.8456618179428652
11166.fmnh.247	2.008696449044295
11166.fmnh.263	4.284025826399834
11166.fmnh.2585	3.8378639961922034
11166.fmnh.2574	0.5342590804774549
11166.fmnh.2550	3.0381187124964932
11166.fmnh.2840	4.460185450906044
11166.fmnh.1061	4.0464664416692
11166.fmnh.1129	2.701073513670913
11166.fmnh.1142	5.72623612187978
11166.fmnh.1097	4.2918737744468896
11166.fmnh.1090	0.8575097484059152
11166.fmnh.2516	2.896504997323921
11166.fmnh.1066	5.691337953365397
11166.fmnh.2808	4.689749035459327
11166.fmnh.222	4.970804382025394
11166.fmnh.1318	2.347169591097965
11166.fmnh.162	2.72117345954468
11166.fmnh.2603	2.6840363293017253
11166.fmnh.2704	3.561054079625475
11166.fmnh.922	3.5742501454509394
11166.fmnh.2627	2.3018406733860206
11166.fmnh.1274	3.738705769873447
11166.fmnh.2620	0.8108613671992974
11166.fmnh.1011	2.138364346015441
11166.fmnh.2703	3.591252438757463
11166.fmnh.2604	1.8255052550690598
11166.fmnh.1257	2.002729714301536
11166.fmnh.2729	3.577620545015734
11166.fmnh.411	3.5527779890214353
11166.fmnh.1259	3.193542018538138
11166.fmnh.2661	0.6670500229550727
11166.fmnh.992	3.2643525816201207
11166.fmnh.1216	4.967371209419865
11166.fmnh.2629	3.888303720104957
11166.fmnh.1332	1.2320241299848353
11166.fmnh.892	4.192245019027985
11166.fmnh.995	2.203358552044522
11166.fmnh.1235	1.4211405081609851
11166.fmnh.2666	0.9333633822576101
11166.fmnh.908	3.8033305410312352
11166.fmnh.1174	2.734907589065994
11166.fmnh.332	2.527391549035467
11166.fmnh.934	3.289521229945441
11166.fmnh.2712	5.72898134151621
11166.fmnh.1262	1.3010178385295201
11166.fmnh.1209	4.223615001368
11166.fmnh.2736	3.2484881463863275
11166.fmnh.182	2.8983730483324845
11166.fmnh.2615	0.26126284706151137
11166.fmnh.1024	3.3355185748274105
11166.fmnh.409	1.5040284748555737
11166.fmnh.1023	1.6943952870141898
11166.fmnh.917	1.342460367008824
11166.fmnh.1309	4.466261802208403
11166.fmnh.1265	3.6433772674403127
11166.fmnh.2788	3.1452198640155196
11166.fmnh.958	3.4628932712367906
11166.fmnh.157	3.646755445819553
11166.fmnh.1293	4.365815137910783
11166.fmnh.2770	4.146107055796897
11166.fmnh.956	3.193191591797812
11166.fmnh.1323	1.622361039369429
11166.fmnh.2653	0.5629760609752653
11166.fmnh.1165	4.019509236357787
11166.fmnh.919	3.663590944835694
11166.fmnh.1046	0.9661931116424481
11166.fmnh.1193	2.8062939087074175
11166.fmnh.400	5.221663848615025
11166.fmnh.2670	1.3468421581216719
11166.fmnh.1223	3.939633114442787
11166.fmnh.1162	4.2433925964155
11166.fmnh.975	1.5462834417052738
