	observed_otus
11166.fmnh.327	15
11166.fmnh.921	20
11166.fmnh.2624	147
11166.fmnh.1012	22
11166.fmnh.438	29
11166.fmnh.1188	94
11166.fmnh.2607	131
11166.fmnh.1036	13
11166.fmnh.902	92
11166.fmnh.1170	25
11166.fmnh.2694	124
11166.fmnh.1038	37
11166.fmnh.1053	61
11166.fmnh.412	145
11166.fmnh.2662	47
11166.fmnh.1288	10
11166.fmnh.928	51
11166.fmnh.1154	17
11166.fmnh.896	23
11166.fmnh.1215	106
11166.fmnh.1212	86
11166.fmnh.2641	49
11166.fmnh.431	149
11166.fmnh.1331	55
11166.fmnh.2762	135
11166.fmnh.329	26
11166.fmnh.1181	60
11166.fmnh.1054	49
11166.fmnh.996	33
11166.fmnh.1236	83
11166.fmnh.1177	71
11166.fmnh.1315	186
11166.elephant.Atl.861041	510
11166.elephant.Hous.25695	398
11166.Ele.max.ind.SanDi29.2	487
11166.Ele.max.max.SanDi26.1	622
11166.elephant.Hous.25332	508
11166.elephant.Hous.19269	540
11166.Ostrich.Hous.25735	363
11166.Cassowary.Hous.24664	47
11166.Apt.aus.man.SanDi8.1	195
11166.Ele.max.ind.SanDi23.1	590
11166.elephant.Atl.861004	394
11166.Mac.par.SanDi22.1	442
11166.elephant.Hous.24329	585
11166.Ele.max.max.SanDi30.2	516
11166.Mac.par.SanDi9.3	353
11166.Ostrich.Hous.25734	360
11166.ATL.24546.ferret	504
11166.NATL.24691.lemur	24
11166.FD.0265.impala	719
11166.NATL.24736.tamarin	66
11166.NATL.24101.kori	66
11166.NATL.24590.rat	469
11166.NZ.16976.A2.NorthIslandWeka	54
11166.AR.M23.flyingsquirrel	245
11166.NATL.25040.lizard	330
11166.NATL.24092.hornbill	19
11166.ATL.24050.lion	50
11166.ATL.24069.tortoise	430
11166.AR.M40.flyingsquirrel	204
11166.NATL.24347.crane	233
11166.NATL.24308.duck	32
11166.NZ.16957.B.kea	63
11166.ATL.25162.frog	145
11166.NATL.24322.raven	648
11166.ATL.24504.skink	417
11166.NATL.24293.bird	36
11166.FD.0223.kudu	852
11166.FD.0369.pig	63
11166.NATL.24376.ibis	89
11166.NATL.24744.crane	82
11166.ATL.24527.pheasant	389
11166.AS.214.wren	44
11166.NATL.24696.tamarin	41
11166.NATL.25047.alligator	299
11166.lamprey.24170.lamprey	441
11166.ATL.24079.tiger	82
11166.AR.M63.flyingsquirrel	220
11166.NATL.24245.rat	75
11166.AS.130.blackbird	101
11166.NZ.16949.B2.NewZealandbrownteal	158
11166.AR.M1.flyingsquirrel	229
11166.Amphioxus.1.lancelet	510
11166.AR.M7.flyingsquirrel	196
11166.AE7VJ10.B.vulture	97
11166.AR.M65.flyingsquirrel	197
11166.NZ.16902.B.diamonddove	69
11166.NATL.24326.b.duck	72
11166.NATL.24689.meerkat	157
11166.FD.boa1a.boa	233
11166.NZ.16994.A.kaka	214
11166.NATL.24664.saki	774
11166.vbat.DR07.colon.vbat	11
11166.ATL.24503.cockatoo	870
11166.FD.03050.oryx	958
11166.ATL.24436.conure	135
11166.NATL.25056.kiwi	122
11166.lamprey.24171.lamprey	519
11166.ATL.25136.fossa	45
11166.AR.M46.flyingsquirrel	75
11166.NZ.17027.A.Antipodesparakeet	104
11166.NATL.25020.snake	418
11166.AR.M25.flyingsquirrel	190
11166.NZ.16840.A1.lessershorttailedbat	160
11166.NATL.24260.grosbeak	150
11166.NATL.24338.bird	73
11166.ATL.24564.meerkat	148
11166.NATL.24280.kingfisher	167
11166.AS.084.swallow	107
11166.NATL.25016.python	517
11166.NZ.16973.A2.blueduck	174
11166.ATL.24467.tortoise	325
11166.NZ.16846.A1.NewZealandbrownteal	364
11166.NATL.24629.chinchilla	37
11166.NATL.24327.bird	102
11166.NATL.25042.b.gecko	248
11166.lamprey.24172.lamprey	1090
11166.NATL.24307.smew	122
11166.NATL.25184.anteater	291
11166.EN.5.5.lice	43
11166.lamprey.35981.lamprey	25
11166.NZ.16856.B.kea	50
11166.EN.7.5.lice	36
11166.NATL.24586.tenrec	258
11166.ATL.24552.vulture	54
11166.NZ.16977.A1.spottedshag	28
11166.NATL.24723.bobcat	191
11166.NZ.16881.B.dotterel	55
11166.ATL.25138.chameleon	85
11166.AS.156.blackbird	44
11166.NATL.24754.squirrel	23
11166.AS.211.longspur	22
11166.NATL.24690.hornbill	61
11166.ATL.24457.anole	200
11166.UM.24981.finch	55
11166.ATL.24438.sheep	772
11166.AE7VJ10.A.vulture	197
11166.EN.7.10.lice	45
11166.ATL.24419.budgerigar	97
11166.AS.031.mockingbird	6
11166.ATL.24435.crow	13
11166.NATL.24357.kingfisher	66
11166.FD.02770.gemsbok	839
11166.EN.1.5.lice	105
11166.AS.122.meadowlark	21
11166.NATL.25026.flamingo	164
11166.ATL.24569.frogmouth	175
11166.NATL.24688.ferret	148
11166.AS.071.blackbird	60
11166.NZ.16892.B.NorthIslandbrownkiwi	88
11166.NATL.24241.vulture	34
11166.AR.M69.flyingsquirrel	92
11166.ATL.25170.basilisk	200
11166.FD.0306.oryx	849
11166.FD.0472.lemur	172
11166.ATL.24566.meerkat	169
11166.NATL.24733.sandcat	145
11166.EN.2.1.flea	103
11166.FD.boa2b.boa	309
11166.AS.049.sparrow	149
11166.AS.172.woodpecker	46
11166.ATL.24055.b.hornbill	22
11166.FD.0455.ass	708
11166.NATL.24660.hyrax	52
11166.NATL.24340.tanager	590
11166.FD.0360.lemur	190
11166.vbat.DR1.anal.vbat	567
11166.vbat.DR12.colon.vbat	16
11166.NATL.24346.egret	9
11166.ATL.24480.teal	208
11166.EN.2.4.flea	136
11166.NZ.16953.B.NorthIslandbrownkiwi	282
11166.lamprey.24173.lamprey	66
11166.NZ.16960.B2.blueduck	152
11166.ATL.24063.goat	743
11166.ATL.24613.guineafowl	64
11166.NATL.25033.tortoise	209
11166.ATL.24573.flamingo	416
11166.NATL.24728.b.gecko	163
11166.ATL.24047.gecko	190
11166.NZ.16842.B1.lessershorttailedbat	74
11166.ATL.24462.chameleon	388
11166.NATL.24389.bird	179
11166.NZ.16952.B.morepork	333
11166.UM.24951.finch	287
11166.NATL.24697.meerkat	125
11166.NZ.16978.A.kea	261
11166.NZ.17027.B.Antipodesparakeet	92
11166.lamprey.24175.lamprey	115
11166.ATL.25142.chameleon	288
11166.FD.01980.springbok	366
11166.NATL.25026.b.flamingo	341
11166.AS.041.dickcissel	62
11166.NATL.25061.peacock	292
11166.NATL.24095.kori	220
11166.AR.M71.flyingsquirrel	204
11166.AS.061.rail	163
11166.AR.M12.flyingsquirrel	221
11166.NATL.25059.rhea	388
11166.lamprey.24169.lamprey	480
11166.NATL.25067.seriema	221
11166.vbat.DR5.anal.vbat	25
11166.NZ.16969.A.bellbird	52
11166.EN.3.2.tick	54
11166.NATL.25028.howler	215
11166.FD.0156.wildebeest	286
11166.NATL.25057.hornbill	174
11166.NATL.25024.bear	282
11166.AR.M52.flyingsquirrel	226
11166.UM.25010.finch	119
11166.NATL.25181.anteater	169
11166.NATL.24355.bird	236
11166.AR.M31.flyingsquirrel	198
11166.NATL.25179.bear	622
11166.AS.182.blackbird	104
11166.ATL.24570.warthog	308
11166.EN.3.7.tick	38
11166.FD.0372.sheep	685
11166.ATL.24049.a.ostrich	368
11166.NATL.24671.sandcat	36
11166.NATL.24721.bear	242
11166.lamprey.24168.lamprey	69
11166.ATL.24551.pheasant	210
11166.ATL.24577.kookaburra	60
11166.ATL.24529.pheasant	241
11166.NATL.24369.kiwi	265
11166.NATL.24238.duck	200
11166.ATL.25151.dragon	390
11166.AR.M37.flyingsquirrel	109
11166.NATL.24342.mallard	112
11166.EN.9.7.tick	48
11166.NATL.24707.crane	203
11166.FD.0366.baboon	350
11166.NZ.16996.B.NorthIslandkaka	58
11166.lamprey.35987.lamprey	55
11166.NZ.16875.B.CampbellIslandflightlessteal	382
11166.AS.165.grosbeak	88
11166.NATL.24678.titi	101
11166.AR.M54.flyingsquirrel	412
11166.NZ.16973.B1.blueduck	131
11166.NZ.16956.A.NorthIslandbrownkiwi	358
11166.NATL.24296.woodpecker	25
11166.NATL.24232.chinchilla	111
11166.NATL.24749.armadillo	349
11166.AS.054.cowbird	38
11166.FD.02950.takin	623
11166.AS.208.blackbird	107
11166.NATL.24289.smew	264
11166.UM.24943.finch	525
11166.FD.0354.monkey	73
11166.FD.0238.impala	718
11166.AR.M14.flyingsquirrel	80
11166.ATL.24514.flamingo	131
11166.NATL.24289.b.smew	485
11166.EN.9.8.tick	57
11166.EN.1.10.lice	219
11166.NATL.24656.fox	182
11166.NATL.24734.ferret	106
11166.NATL.24262.dove	79
11166.AR.M77.flyingsquirrel	126
11166.vbat.DR20.colon.vbat	18
11166.NATL.25054.saki	225
11166.NATL.24674.meerkat	198
11166.FD.02680.zebra	559
11166.ATL.25155.dragon	360
11166.ATL.24430.iguana	207
11166.NATL.25180.bear	94
11166.NZ.17022.A.NorthIslandkaka	74
11166.ATL.24476.b.thrush	37
11166.NATL.25045.tortoise	157
11166.NATL.24299.mousebird	441
11166.AS.013.chat	10
11166.NATL.24328.duck	144
11166.NZ.16976.B2.NorthIslandWeka	39
11166.AS.007.cardinal	26
11166.NATL.25032.lizard	177
11166.FD.0450.agouti	537
11166.ATL.24476.a.thrush	50
11166.ATL.24062.rhinoceros	643
11166.NATL.24320.dove	41
11166.FD.02590.zebra	796
11166.NZ.16949.B1.NewZealandbrownteal	146
11166.AR.M18.flyingsquirrel	201
11166.ATL.25135.chameleon	243
11166.UM.24892.finch	761
11166.ATL.24545.hawk	22
11166.FD.02410.zebra	782
11166.AR.M58.flyingsquirrel	247
11166.AS.040.flycatcher	12
11166.ATL.25161.dragon	361
11166.NATL.24740.armadillo	201
11166.ATL.25171.gecko	138
11166.ATL.24547.macaw	56
11166.ATL.24064.bongo	704
11166.lamprey.24177.lamprey	2
11166.NZ.16878.A.NorthIslandbrownkiwi	81
11166.AS.087.flycatcher	29
11166.NATL.24727.turtle	408
11166.AS.069.wren	11
11166.NATL.24728.a.gecko	144
11166.AS.082.rail	116
11166.ATL.25153.toad	203
11166.NATL.24705.skunk	240
11166.NATL.24104.crane	123
11166.NZ.16865.B.kea	67
11166.AS.125.blackbird	47
11166.AS.223.blackbird	126
11166.NATL.25058.sloth	196
11166.NATL.24672.sandcat	205
11166.ATL.24049.b.ostrich	341
11166.NATL.25042.a.gecko	291
11166.vbat.DR16.colon.vbat	14
11166.NATL.24309.owl	98
11166.NATL.24714.lion	205
11166.NZ.16846.A2.NewZealandbrownteal	392
11166.NATL.25068.b.emu	56
11166.UM.25011.finch	333
11166.NATL.24630.nakedmolerat	28
11166.NATL.24345.tanager	114
11166.NATL.24396.grosbeak	10
11166.EN.9.10.tick	59
11166.AS.195.wren	100
11166.NZ.16954.B.NorthIslandbrownkiwi	110
11166.lamprey.24176.lamprey	193
11166.vbat.J4.anal.bat	83
11166.NZ.16977.B2.spottedshag	8
11166.NATL.25080.anteater	45
11166.UM.24982.finch	576
11166.FD.18924.saki	233
11166.ATL.25126.zebra	606
11166.NZ.16960.A1.blueduck	80
11166.Amphioxus.4.lancelet	517
11166.AS.083.swallow	156
11166.ATL.25147.anole	185
11166.AS.153.blackbird	207
11166.NZ.16966.A.Antipodesparakeet	145
11166.NATL.25021.lemur	128
11166.NATL.25077.duck	292
11166.ATL.24499.hornbill	113
11166.NATL.24679.tamarin	249
11166.ATL.24075.a.kori	138
11166.NZ.17000.A1.littlebluepenguin	76
11166.vbat.DR21.colon.vbat	19
11166.NATL.24653.crane	47
11166.AS.186.woodpecker	8
11166.ATL.24535.otter	84
11166.lamprey.24183.lamprey	384
11166.NATL.24668.tamandua	53
11166.FD.0388.baboon	195
11166.AR.M62.flyingsquirrel	235
11166.ATL.24558.chinchilla	336
11166.AS.086.oriole	32
11166.AR.M22.flyingsquirrel	183
11166.NATL.25019.rhea	232
